title;prix;family;origin;colisage;image;category
Abricot;2.9;Fruit;France;5 kg;https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583027/fruits/Labricot94e3_je0ktr.jpg;1
Ail blanc;0.6;Aromate;France;5 kg;https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583589/l%C3%A9gumes/AIl-blanc94e3_zdeugn.png;1
Ananas;1.65;Fruit;Costa Rica;"8 pieces
";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583026/fruits/Ananas94e3_rfy39j.png;1
Aneth;0.4;Aromate;Belgique;5 bottes;https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583691/aromates/Aneth94e3_az7ulb.png;ext
Aubergine;1.2;Legume;Espagne;5 kg;https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583589/l%C3%A9gumes/AUBERGINE94e3_clg5e9.jpg;1
Avocat;1.00;Fruit;Perou;16 pieces;https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583589/l%C3%A9gumes/Avocat94e3_sythmg.png;1
Banane;1.35;Fruit;France;18,3 kg;https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583026/fruits/Banane94e3_iahef2.png;1
Basilic;0.4;Aromate;Belgique;5 bottes;https://res.cloudinary.com/dxeoy1wnz/image/upload/v1685188780/AR00271_xxjwch.jpg;ext
Batavia;1.00;Legume;France;12 pieces;https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583589/l%C3%A9gumes/Batavia-194e3_ypdxxg.png;1
Carotte;1.35;Legume;France;10 kg;https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583589/l%C3%A9gumes/carotte-botte94e3_nj3x7c.jpg;2
Cebette;1.3;Aromate;France;12 pieces;https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583590/l%C3%A9gumes/Cebette94e3_lgll1w.png;1
Celeri branche;1.1;Legume;Italie;7 kg;https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583590/l%C3%A9gumes/Celeri-branche94e3_zt9yb0.png;1
Cerfeuil;0.6;Aromate;Belgique;"5 bottes
";https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583691/aromates/Cerfeuil0f1c_rrve68.png;ext
Cerise;9.00;Fruit rouge;Espagne;5 kg;https://res.cloudinary.com/dxeoy1wnz/image/upload/v1685188035/Sans-titre-1694e3_iyg0nc.png;1
Champignon;3.00;Legume;Espagne;3 kg;https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583590/l%C3%A9gumes/Champignon94e3_lrnfc7.png;1
Chou blanc;1.5;Legume;Hollande;6 pieces;https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583590/l%C3%A9gumes/Chou-blanc94e3_ytxtqv.png;1
Citron jaune ;1.5;Fruit;Espagne;6 kg;https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583026/fruits/Citron94e3_pie6na.png;1
Citron vert;3.00;Fruit;Bresil;4,5 kg;https://res.cloudinary.com/dxeoy1wnz/image/upload/v1685189031/AR00044_ro3s3c.jpg;1
Estragon;0.4;Aromate;Belgique;5 bottes;https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583691/aromates/Estragon94e3_megoxx.png;ext
Fenouil;1.6;Legume;Italie;5 kg;https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583590/l%C3%A9gumes/Fenouil94e3_w3e2lj.png;1
Feuille de chene;1.1;Legume;France;12 pieces;https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583591/l%C3%A9gumes/Feuille-de-chene-194e3_uwlpzt.png;1
Fraise;4.00;Fruit rouge;Espagne;4 kg;https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583026/fruits/Fraise-1-scaled94e3_sq7idi.jpg;1
Framboise;1.5;Fruit rouge;Portugal;12 barquettes;https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583026/fruits/FRAMBOISE94e3_su1opr.jpg;1
Fruit passion;3.5;Fruit;Vietnam;2 kg;https://res.cloudinary.com/dxeoy1wnz/image/upload/v1685189796/AR00226_ac1f1t.jpg;1
Golden;1.6;Fruit;France;4,5 kg;https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583591/l%C3%A9gumes/Feuille-de-chene-194e3_uwlpzt.png;1
Grenade;1.6;Fruit;Espagne;12 pieces;https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583027/fruits/Grenade94e3_nj12me.png;1
Groseille;2.5;Fruit rouge;Portugal;12 barquettes;https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583027/fruits/Groseil94e3_c2jonx.png;ext
kiwi;2.5;Fruit;Grece;10 kg;https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583027/fruits/Kiwi94e3_jfobpa.png;1
Mangue;1.00;Fruit;Afrique du sud;7 pieces;https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583027/fruits/Mangue94e3_tstpe7.png;2
Menthe;0.4;Aromate;Belgique;5 bottes;https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583691/aromates/Menthe94e3_nlhhr8.png;ext
Mirabelle;1.9;Fruit;France;12 barquettes;https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583027/fruits/mirabelle94e3_ax5mog.jpg;11
Mure;2.1;Fruit rouge;Portugal;12 barquettes;https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583027/fruits/Muresbfd5_uhkuq1.jpg;1
Myrtille;1.9;Fruit rouge;Portugal;12 barquettes;https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583028/fruits/Myrtille-194e3_boryvi.png;1
Nectarine blanche;3.5;Fruit;Espagne;6,5 kg;https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583027/fruits/La-nectarine94e3_hhdkkn.png;1
Oignon rouge;0.75;Legume;Hollande;10 kg;https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583591/l%C3%A9gumes/Oignon-rouge94e3_doo01m.png;1
Orange sanguine;1.1;Fruit;Espagne;15 kg;https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583027/fruits/orange-sanguine94e3_kygn14.jpg;1
Origan;0.4;Aromate;Belgique;5 bottes;https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583691/aromates/Origan94e3_puyipc.png;ext
Oseille;0.6;Aromate;Belgique;5 bottes;https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583691/aromates/Oseille94e3_fjwtk0.png;ext
Patae-douce;1.8;Legume;Egypte;6 kg;https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583591/l%C3%A9gumes/Patate-douce94e3_y9casy.png;2
Peche jaune ;3.2;Fruit;Espagne;6,5 kg;https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583027/fruits/La-peche-jaune94e3_dnmyzp.jpg;1
Pink;2.15;Fruit;France;4,5 kg;https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583027/fruits/lapinklady94e3_q2hi5h.jpg;1
Poire William;2.4;Fruit;Hollande;5 kg;https://res.cloudinary.com/dxeoy1wnz/image/upload/v1685190093/AR00217_mpuxhj.jpg;1
Poivron rouge;2.5;Legume;Espagne;5 kg;https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583592/l%C3%A9gumes/Poivron-rouge94e3_xefwfq.png;1
Pomelos;0.85;Fruit;Afrique du sud;40 pieces;https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583027/fruits/Pomelo94e3_fiqib3.png;1
Thym;0.6;Aromate;Belgique;5 bottes;https://res.cloudinary.com/dxeoy1wnz/image/upload/v1685190477/AR00161_b9tix1.jpg;ext
Tomate cerise grappe;1.4;Legume;France;3 kg;https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583589/l%C3%A9gumes/Tomate-cerise-grappe-rouge94e3_dibtvg.png;1
Tomate grappe;1.2;Legume;France;5 kg;https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583589/l%C3%A9gumes/Tomate-grappe94e3_zd3hqa.png;1
Tomate noir;1.6;Legume;France;3,5 kg ;https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583589/l%C3%A9gumes/Tomate-noir94e3_f84s9r.png;1
Tomate saveur;2.8;Legume;France;3,5 kg ;https://res.cloudinary.com/dxeoy1wnz/image/upload/v1684583589/l%C3%A9gumes/Tomate-dantan94e3_u6xujg.png;1
